Source,Target,Weight
19,0,0.7
21,0,0.7
25,0,0.7
29,0,0.7
33,0,0.7
0,50,0.07
0,68,0.07
76,0,0.07
104,0,0.07
0,121,0.07
12,1,0.7
1,15,0.7
34,1,0.7
55,1,0.07
1,58,0.07
75,1,0.07
79,1,0.07
100,1,0.07
105,1,0.07
123,1,0.07
132,1,0.07
1,138,0.07
8,2,0.7
11,2,0.7
33,2,0.7
82,2,0.07
2,132,0.07
133,2,0.07
2,146,0.07
149,2,0.07
2,154,0.07
4,3,0.7
3,5,0.7
8,3,0.7
3,20,0.7
30,3,0.7
3,32,0.7
35,3,0.7
3,37,0.7
39,3,0.7
42,3,0.07
43,3,0.07
3,77,0.07
85,3,0.07
87,3,0.07
3,92,0.07
110,3,0.07
4,14,0.7
4,17,0.7
4,18,0.7
4,23,0.7
35,4,0.7
4,37,0.7
4,50,0.07
62,4,0.07
4,71,0.07
75,4,0.07
4,96,0.07
4,99,0.07
4,115,0.07
118,4,0.07
125,4,0.07
5,13,0.7
23,5,0.7
25,5,0.7
33,5,0.7
5,37,0.7
5,41,0.07
5,57,0.07
5,87,0.07
88,5,0.07
5,102,0.07
136,5,0.07
5,139,0.07
6,21,0.7
24,6,0.7
32,6,0.7
47,6,0.07
6,58,0.07
76,6,0.07
113,6,0.07
6,135,0.07
151,6,0.07
7,19,0.7
7,21,0.7
7,34,0.7
69,7,0.07
84,7,0.07
133,7,0.07
7,134,0.07
7,140,0.07
30,8,0.7
8,33,0.7
47,8,0.07
8,51,0.07
8,79,0.07
8,87,0.07
108,8,0.07
112,8,0.07
8,123,0.07
8,157,0.07
9,36,0.7
43,9,0.07
9,62,0.07
9,92,0.07
98,9,0.07
138,9,0.07
140,9,0.07
10,12,0.7
10,33,0.7
39,10,0.7
51,10,0.07
10,79,0.07
93,10,0.07
110,10,0.07
10,119,0.07
121,10,0.07
10,127,0.07
133,10,0.07
10,137,0.07
11,28,0.7
11,37,0.7
11,76,0.07
11,96,0.07
11,107,0.07
11,132,0.07
11,137,0.07
11,152,0.07
38,12,0.7
47,12,0.07
58,12,0.07
12,67,0.07
12,80,0.07
81,12,0.07
108,12,0.07
12,132,0.07
19,13,0.7
13,34,0.7
13,50,0.07
72,13,0.07
13,77,0.07
13,78,0.07
89,13,0.07
95,13,0.07
99,13,0.07
13,107,0.07
14,81,0.07
14,99,0.07
114,14,0.07
128,14,0.07
14,141,0.07
15,16,0.7
37,15,0.7
15,49,0.07
95,15,0.07
119,15,0.07
15,126,0.07
16,19,0.7
16,46,0.07
16,94,0.07
16,96,0.07
137,16,0.07
17,37,0.7
51,17,0.07
76,17,0.07
102,17,0.07
114,17,0.07
129,17,0.07
17,143,0.07
29,18,0.7
18,36,0.7
18,45,0.07
54,18,0.07
73,18,0.07
84,18,0.07
100,18,0.07
125,18,0.07
18,126,0.07
143,18,0.07
19,31,0.7
33,19,0.7
19,48,0.07
51,19,0.07
19,74,0.07
19,75,0.07
19,136,0.07
153,19,0.07
20,32,0.7
33,20,0.7
36,20,0.7
45,20,0.07
20,69,0.07
71,20,0.07
77,20,0.07
87,20,0.07
20,125,0.07
136,20,0.07
156,20,0.07
21,44,0.07
21,67,0.07
105,21,0.07
21,120,0.07
21,131,0.07
24,22,0.7
31,22,0.7
48,22,0.07
96,22,0.07
112,22,0.07
139,22,0.07
38,23,0.7
23,45,0.07
23,68,0.07
23,119,0.07
23,123,0.07
30,24,0.7
31,24,0.7
24,32,0.7
24,71,0.07
131,24,0.07
133,24,0.07
28,25,0.7
25,32,0.7
33,25,0.7
39,25,0.7
47,25,0.07
83,25,0.07
25,94,0.07
25,111,0.07
25,125,0.07
25,151,0.07
25,157,0.07
26,34,0.7
26,54,0.07
126,26,0.07
27,29,0.7
27,40,0.07
27,48,0.07
27,53,0.07
27,64,0.07
77,27,0.07
88,27,0.07
27,135,0.07
147,27,0.07
27,154,0.07
28,31,0.7
28,40,0.07
75,28,0.07
28,132,0.07
28,151,0.07
156,28,0.07
34,29,0.7
29,37,0.7
42,29,0.07
29,75,0.07
29,76,0.07
87,29,0.07
92,29,0.07
97,29,0.07
98,29,0.07
130,29,0.07
139,29,0.07
146,29,0.07
50,30,0.07
30,57,0.07
59,30,0.07
64,30,0.07
71,30,0.07
86,30,0.07
90,30,0.07
133,30,0.07
35,31,0.7
31,114,0.07
32,37,0.7
32,77,0.07
32,82,0.07
84,32,0.07
90,32,0.07
107,32,0.07
32,138,0.07
139,32,0.07
32,143,0.07
32,145,0.07
148,32,0.07
33,104,0.07
110,33,0.07
33,113,0.07
137,33,0.07
149,33,0.07
61,34,0.07
34,63,0.07
98,34,0.07
123,34,0.07
34,135,0.07
35,36,0.7
35,38,0.7
75,35,0.07
112,35,0.07
35,113,0.07
35,119,0.07
35,142,0.07
143,35,0.07
36,60,0.07
69,36,0.07
36,71,0.07
83,36,0.07
36,98,0.07
114,36,0.07
115,36,0.07
36,116,0.07
136,36,0.07
36,143,0.07
36,144,0.07
53,37,0.07
37,54,0.07
67,37,0.07
80,37,0.07
100,37,0.07
119,37,0.07
37,138,0.07
37,144,0.07
38,103,0.07
38,105,0.07
38,109,0.07
38,110,0.07
118,38,0.07
38,131,0.07
86,39,0.07
88,39,0.07
137,39,0.07
40,63,0.7
81,40,0.07
93,40,0.07
40,127,0.07
40,133,0.07
136,40,0.07
41,43,0.7
74,41,0.7
41,79,0.7
126,41,0.07
152,41,0.07
50,42,0.7
42,51,0.7
53,42,0.7
56,42,0.7
84,42,0.07
42,85,0.07
42,93,0.07
42,113,0.07
49,43,0.7
73,43,0.7
117,43,0.07
128,43,0.07
136,43,0.07
43,146,0.07
43,155,0.07
46,44,0.7
58,44,0.7
62,44,0.7
92,44,0.07
105,44,0.07
44,123,0.07
129,44,0.07
157,44,0.07
44,158,0.07
70,45,0.7
76,45,0.7
79,45,0.7
84,45,0.07
45,101,0.07
151,45,0.07
153,45,0.07
53,46,0.7
46,63,0.7
64,46,0.7
46,75,0.7
46,124,0.07
46,130,0.07
46,145,0.07
157,46,0.07
83,47,0.07
90,47,0.07
47,95,0.07
47,101,0.07
106,47,0.07
47,121,0.07
55,48,0.7
60,48,0.7
48,61,0.7
48,67,0.7
48,71,0.7
79,48,0.7
48,80,0.07
48,108,0.07
123,48,0.07
48,142,0.07
143,48,0.07
49,53,0.7
65,49,0.7
99,49,0.07
112,49,0.07
53,50,0.7
50,66,0.7
50,72,0.7
88,50,0.07
103,50,0.07
114,50,0.07
50,120,0.07
135,50,0.07
51,93,0.07
94,51,0.07
123,51,0.07
135,51,0.07
51,143,0.07
52,57,0.7
52,74,0.7
78,52,0.7
52,86,0.07
52,89,0.07
101,52,0.07
52,113,0.07
52,156,0.07
52,158,0.07
55,53,0.7
61,53,0.7
53,63,0.7
53,74,0.7
53,105,0.07
113,53,0.07
53,124,0.07
54,72,0.7
54,125,0.07
133,54,0.07
57,55,0.7
70,55,0.7
72,55,0.7
76,55,0.7
97,55,0.07
114,55,0.07
122,55,0.07
55,126,0.07
55,134,0.07
55,153,0.07
55,154,0.07
56,70,0.7
56,76,0.7
81,56,0.07
82,56,0.07
90,56,0.07
103,56,0.07
138,56,0.07
56,147,0.07
56,152,0.07
57,86,0.07
91,57,0.07
123,57,0.07
142,57,0.07
57,155,0.07
58,61,0.7
58,70,0.7
58,73,0.7
93,58,0.07
96,58,0.07
58,111,0.07
58,112,0.07
58,122,0.07
59,61,0.7
59,68,0.7
59,74,0.7
59,77,0.7
59,78,0.7
59,82,0.07
92,59,0.07
120,59,0.07
137,59,0.07
63,60,0.7
60,75,0.7
60,116,0.07
60,121,0.07
155,60,0.07
61,64,0.7
61,67,0.7
72,61,0.7
61,75,0.7
61,82,0.07
114,61,0.07
61,125,0.07
138,61,0.07
74,62,0.7
97,62,0.07
119,62,0.07
62,140,0.07
63,70,0.7
74,63,0.7
63,83,0.07
107,63,0.07
63,111,0.07
159,63,0.07
71,64,0.7
73,64,0.7
79,64,0.7
64,109,0.07
64,122,0.07
68,65,0.7
65,74,0.7
65,86,0.07
97,65,0.07
110,65,0.07
65,120,0.07
69,66,0.7
66,74,0.7
77,66,0.7
66,100,0.07
66,134,0.07
87,67,0.07
92,67,0.07
106,67,0.07
67,141,0.07
68,106,0.07
119,68,0.07
143,68,0.07
69,82,0.07
129,69,0.07
80,70,0.07
92,70,0.07
94,70,0.07
70,100,0.07
101,70,0.07
70,129,0.07
152,70,0.07
159,70,0.07
97,71,0.07
132,71,0.07
72,81,0.07
72,104,0.07
107,72,0.07
72,130,0.07
73,90,0.07
73,117,0.07
73,137,0.07
150,73,0.07
74,101,0.07
131,74,0.07
147,74,0.07
74,159,0.07
75,78,0.7
88,75,0.07
75,99,0.07
75,103,0.07
75,152,0.07
115,76,0.07
77,79,0.7
77,102,0.07
77,121,0.07
77,133,0.07
158,77,0.07
103,78,0.07
78,107,0.07
126,78,0.07
89,79,0.07
79,94,0.07
110,79,0.07
79,111,0.07
91,80,0.7
80,92,0.7
97,80,0.7
99,80,0.7
101,80,0.7
80,102,0.7
103,80,0.7
158,80,0.07
96,81,0.7
81,97,0.7
81,98,0.7
81,100,0.7
81,113,0.7
81,117,0.7
139,81,0.07
81,156,0.07
88,82,0.7
82,93,0.7
82,108,0.7
82,121,0.07
82,134,0.07
158,82,0.07
99,83,0.7
113,83,0.7
83,136,0.07
137,83,0.07
139,83,0.07
157,83,0.07
103,84,0.7
106,84,0.7
113,84,0.7
116,84,0.7
84,127,0.07
138,84,0.07
155,84,0.07
86,85,0.7
105,85,0.7
107,85,0.7
117,85,0.7
138,85,0.07
86,90,0.7
86,91,0.7
93,86,0.7
86,99,0.7
121,86,0.07
128,86,0.07
86,145,0.07
93,87,0.7
109,87,0.7
94,88,0.7
88,113,0.7
114,88,0.7
88,126,0.07
141,88,0.07
89,102,0.7
89,129,0.07
136,89,0.07
89,145,0.07
89,147,0.07
93,90,0.7
104,90,0.7
119,90,0.7
90,146,0.07
91,92,0.7
95,91,0.7
103,91,0.7
123,91,0.07
125,91,0.07
141,91,0.07
92,95,0.7
92,106,0.7
92,110,0.7
92,114,0.7
96,93,0.7
106,93,0.7
93,111,0.7
93,124,0.07
93,136,0.07
146,93,0.07
158,93,0.07
94,98,0.7
94,99,0.7
94,108,0.7
94,112,0.7
120,94,0.07
94,135,0.07
95,145,0.07
96,97,0.7
98,96,0.7
96,101,0.7
103,96,0.7
143,96,0.07
148,96,0.07
104,97,0.7
118,97,0.7
126,97,0.07
97,130,0.07
131,97,0.07
109,98,0.7
98,119,0.7
98,121,0.07
139,98,0.07
102,99,0.7
99,117,0.7
99,124,0.07
99,130,0.07
99,157,0.07
158,99,0.07
100,106,0.7
113,100,0.7
133,100,0.07
100,143,0.07
113,101,0.7
101,115,0.7
101,116,0.7
101,129,0.07
155,101,0.07
102,108,0.7
102,115,0.7
102,117,0.7
102,120,0.07
130,102,0.07
154,102,0.07
155,102,0.07
103,116,0.7
103,117,0.7
103,144,0.07
152,103,0.07
104,112,0.7
134,104,0.07
104,147,0.07
105,117,0.7
124,105,0.07
113,106,0.7
106,133,0.07
106,141,0.07
109,107,0.7
117,107,0.7
107,141,0.07
107,147,0.07
108,135,0.07
142,108,0.07
108,145,0.07
108,148,0.07
109,119,0.7
109,135,0.07
116,110,0.7
118,110,0.7
114,111,0.7
111,139,0.07
111,154,0.07
111,158,0.07
122,112,0.07
117,113,0.7
131,113,0.07
113,134,0.07
140,113,0.07
113,155,0.07
114,126,0.07
115,117,0.7
115,122,0.07
115,129,0.07
115,131,0.07
149,115,0.07
121,116,0.07
116,133,0.07
122,117,0.07
117,143,0.07
118,132,0.07
142,118,0.07
119,123,0.07
119,132,0.07
136,119,0.07
147,119,0.07
120,130,0.7
120,148,0.7
153,120,0.7
121,138,0.7
121,145,0.7
149,121,0.7
122,126,0.7
122,153,0.7
125,123,0.7
136,123,0.7
123,139,0.7
149,123,0.7
124,131,0.7
124,133,0.7
124,159,0.7
127,125,0.7
132,125,0.7
125,138,0.7
125,141,0.7
148,125,0.7
151,125,0.7
153,125,0.7
126,143,0.7
126,153,0.7
126,155,0.7
127,131,0.7
128,135,0.7
141,128,0.7
147,128,0.7
128,152,0.7
